IDTeme;PROGRAMNAJU;TEMATSKA OBLASTNAJU;Oblast akreditacije;TEMA;Datum početka;Datum završetka;Lokacija;Verifikacija;Broj realizovanih dana;Broj polaznika;Evaluacija opšta ocena;Tip obuke;Godina realizacije
2018-15-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;;Tabelarne kalkulacije;10.4.2018;11.4.2018;SKIP MDULS;sertifikat;2;19;3,69;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;11.4.2018;11.4.2018;Palata Srbija;potvrda;1;16;;Klasična učionica;2018
2018-04-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Primena gramatičkih, stilskih i pravopisnih pravila u izradi propisa;12.4.2018;13.4.2018;Palata Srbija;potvrda;2;20;3,86;Klasična učionica;2018
2018-01-02;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 2. OSNOVI SISTEMA EVROPSKE UNIJE;16.4.2018;16.4.2018;Palata Srbija;potvrda;1;37;3,42;Klasična učionica;2018
2018-10-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Anti – stres radionica;16.4.2018;16.4.2018;Palata Srbija;potvrda;1;9;3,68;Klasična učionica;2018
2018-13-04;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;;Državni protokol sa elementima poslovnog protokola;16.4.2018;17.4.2018;Palata Srbija;potvrda;2;23;3,84;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak - Obuka za popunjavanje matrice za harmonizaciju propisa sa Zakonom o opštem upravnom postupku;17.4.2018;17.4.2018;Palata Srbija;bez potvrde;1;6;3,96;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno usmeno izražavanje;18.4.2018;18.4.2018;Palata Srbija;potvrda projekat;1;14;;Klasična učionica;2018
2018-01-01;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 1. USTAVNO UREĐENjE REPUBLIKE SRBIJE;19.4.2018;20.4.2018;Palata Srbija;potvrda;2;28;3,38;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;19.4.2018;19.4.2018;Palata Srbija;potvrda;1;15;;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pismeno izražavanje;19.4.2018;19.4.2018;Palata Srbija;potvrda projekat;1;13;3,90;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;20.4.2018;20.4.2018;Palata Srbija;potvrda;1;15;;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pregovaranje;20.4.2018;20.4.2018;Palata Srbija;potvrda projekat;1;14;;Klasična učionica;2018
2018-03-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Elektronska uprava u službi građana;23.4.2018;23.4.2018;SKIP MDULS;potvrda;1;30;3,66;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;23.4.2018;23.4.2018;Palata Srbija;potvrda;1;14;;Klasična učionica;2018
2018-06-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Javne nabavke – planiranje i sprovođenje;23.4.2018;25.4.2018;Palata Srbija;potvrda;3;28;3,85;Klasična učionica;2018
2018-11-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;;Zaštita uzbunjivača – osnovna obuka;23.4.2018;23.4.2018;Palata Srbija;potvrda;1;20;3,68;Klasična učionica;2018
2018-16-03;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Upravljanje zakonodavnim procesom - ukidanje obaveznosti upotrebe pečata za poslovne subjekte -;23.4.2018;23.4.2018;Palata Srbija;potvrda;1;26;3,63;Klasična učionica;2018
2018-03-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Popis administrativnih postupaka koji se odnose na poslovanje;24.4.2018;24.4.2018;Palata Srbija;potvrda;1;12;;Klasična učionica;2018
2018-03-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Kodeks dobre uprave;25.4.2018;25.4.2018;Palata Srbija;potvrda;1;11;3,80;Klasična učionica;2018
2018-05-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INSPEKCIJSKI NADZOR;;Ka efikasnijim inspekcijama;26.4.2018;27.4.2018;Palata Srbija;potvrda;2;16;3,91;Klasična učionica;2018
2018-01-05;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 5. KANCELARIJSKO POSLOVANjE;27.4.2018;27.4.2018;Palata Srbija;potvrda;1;34;3,26;Klasična učionica;2018
2018-12-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Prava pripadnika nacionalnih manjina;30.4.2018;30.4.2018;Palata Srbija;potvrda;1;7;3,98;Klasična učionica;2018
2018-01-03;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 3. SISTEM DRŽAVNE UPRAVE;3.5.2018;4.5.2018;Palata Srbija;potvrda;2;26;3,70;Klasična učionica;2018
2018-06-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Priprema programskog budžeta;7.5.2018;8.5.2018;Palata Srbija;potvrda;2;15;3,87;Klasična učionica;2018
2018-13-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ODNOSI SA JAVNOŠĆU;;Javni nastup;7.5.2018;7.5.2018;Palata Srbija;potvrda;1;26;3,86;Klasična učionica;2018
2018-01-04;UVODNI PROGRAM OBUKE DRŽAVNIH SLUŽBENIKA;UVODNI PROGRAM OBUKE ZA SLUŽBENIKE SA STEČENIM VISOKIM OBRAZOVANjEM;;Modul 4. RADNI ODNOSI U DRŽAVNIM ORGANIMA;8.5.2018;8.5.2018;Palata Srbija;potvrda;1;22;3,93;Klasična učionica;2018
2018-04-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;NORMATIVNI PROCES;;Planiranje, izrada i primena propisa;9.5.2018;10.5.2018;Palata Srbija;potvrda;2;16;3,48;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak - Obuka za popunjavanje matrice za harmonizaciju propisa sa Zakonom o opštem upravnom postupku;10.5.2018;10.5.2018;Palata Srbija;potvrda;1;23;3,48;Klasična učionica;2018
2018-07-01;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Sistem i pravila za upravljanje IPA – uvodna obuka za novozaposlene;15.5.2018;15.5.2018;Palata Srbija;potvrda;1;23;3,87;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak - Obuka za popunjavanje matrice za harmonizaciju propisa sa Zakonom o opštem upravnom postupku;16.5.2018;16.5.2018;Palata Srbija;potvrda;1;15;3,72;Klasična učionica;2018
2018-10-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje stresom;16.5.2018;16.5.2018;Palata Srbija;potvrda;1;21;3,78;Klasična učionica;2018
2018-16-02;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama i rukovođenje;17.5.2018;17.5.2018;Palata Srbija;potvrda;1;4;4,00;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak - Obuka za popunjavanje matrice za harmonizaciju propisa sa Zakonom o opštem upravnom postupku;21.5.2018;21.5.2018;Palata Srbija;potvrda;1;6;4,00;Klasična učionica;2018
2018-12-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Diskriminacija pred organima javne vlasti;21.5.2018;21.5.2018;Palata Srbija;potvrda;1;14;3,94;Klasična učionica;2018
2018-12-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Zaštita podataka o ličnosti;22.5.2018;22.5.2018;Palata Srbija;potvrda;1;21;3,74;Klasična učionica;2018
2018-07-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Finansijsko upravljanje: plaćanje ugovaračima;23.5.2018;24.5.2018;Palata Srbija;potvrda;2;24;3,77;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno usmeno izražavanje;23.5.2018;23.5.2018;Palata Srbija;potvrda projekat;1;13;3,94;Klasična učionica;2018
2018-18-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Metode razvoja zaposlenih;23.5.2018;23.5.2018;Palata Srbija;potvrda;1;16;3,78;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pismeno izražavanje;24.5.2018;24.5.2018;Palata Srbija;potvrda projekat;1;14;;Klasična učionica;2018
2018-18-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Koučing kao instrument razvoja - Rukovodilac kao kouč;24.5.2018;24.5.2018;Palata Srbija;potvrda;1;17;3,86;Klasična učionica;2018
2018-14-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;;Uspešno pregovaranje;25.5.2018;25.5.2018;Palata Srbija;potvrda projekat;1;14;;Klasična učionica;2018
2018-07-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;;Praćenje i vrednovanje programa pretpristupne pomoći EU u okviru IPA II prekogranične i transnacionalne saradnje;29.5.2018;29.5.2018;Palata Srbija;potvrda;1;15;3,66;Klasična učionica;2018
2018-04-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;;Međunarodni ugovori - priprema i zaključivanje;30.5.2018;30.5.2018;Palata Srbija;potvrda;1;11;3,79;Klasična učionica;2018
2018-03-06;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;;Elektronska uprava u službi građana;31.5.2018;31.5.2018;SKIP MDULS;potvrda;1;24;3,55;Klasična učionica;2018
2018-12-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;RODNA RAVNORAVNOST;;Rodna ravnopravnost i rodno zasnovano nasilje;31.5.2018;31.5.2018;Palata Srbija;potvrda;1;12;3,89;Klasična učionica;2018
2018-05-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INSPEKCIJSKI NADZOR;;Ka efikasnijim inspekcijama;4.6.2018;5.6.2018;Palata Srbija;potvrda;2;11;3,90;Klasična učionica;2018
2018-00-18;POSEBNI DOGAĐAJI;KONFERENCIJE;;Komunikacija i inovacije u javnoj upravi i javnim preduzećima;5.6.2018;5.6.2018;Klub narodnih poslanika;bez potvrde;1;120;;Klasična učionica;2018
2018-12-09;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;;Zaštita tajnih podataka;5.6.2018;6.6.2018;Palata Srbija;potvrda;2;19;3,86;Klasična učionica;2018
2018-16-01;PROGRAM OBUKE  RUKOVODILACA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje promenama;6.6.2018;6.6.2018;Palata Srbija;potvrda;1;8;3,89;Klasična učionica;2018
2018-13-02;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;;Pisana komunikacija u administraciji;7.6.2018;7.6.2018;Palata Srbija;potvrda;1;22;3,83;Klasična učionica;2018
2018-18-07;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Kako motivisati zaposlene?;7.6.2018;7.6.2018;Palata Srbija;potvrda;1;18;3,75;Klasična učionica;2018
2018-06-05;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;;Poresko poslovanje;8.6.2018;8.6.2018;Palata Srbija;potvrda;1;8;3,80;Klasična učionica;2018
2018-10-03;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;;Upravljanje stresom;8.6.2018;8.6.2018;Palata Srbija;potvrda;1;15;3,86;Klasična učionica;2018
2018-04-08;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;;Opšti upravni postupak;11.6.2018;12.6.2018;Palata Srbija;potvrda;2;18;3,61;Klasična učionica;2018
